id,income_date,name,nif,base,iva,principal_id
1,2016-01-13,Wanda Washington,213-43-6204,62.14,21,6
2,2016-03-10,Gary Howard,679-88-7988,107.95,21,6
3,2016-08-12,Bruce Russell,118-20-2005,25.16,21,5
4,2016-01-14,Anna Lawson,518-59-8663,114.7,21,6
5,2016-01-30,Gregory Perez,392-12-0408,213.78,21,5
6,2016-10-14,Antonio Stewart,249-40-0420,224.68,21,4
7,2016-03-01,Jeremy Sullivan,297-65-2678,217.83,21,3
8,2016-06-28,Norma Rice,139-07-9203,153.43,21,4
9,2016-04-24,Robert Bailey,870-27-1254,199.71,21,3
10,2016-04-03,Michelle Turner,388-57-7777,177.22,21,4
11,2016-10-17,Fred Carter,469-33-9501,108.15,21,3
12,2016-03-15,Samuel Wells,608-45-1961,68.47,21,6
13,2016-08-06,Julia Morgan,276-52-7924,48.42,21,3
14,2016-05-12,Wanda Foster,431-39-8528,26.03,21,6
15,2016-05-26,Albert Jackson,385-41-9934,199.36,21,3
16,2016-08-22,John Perry,614-53-7969,171.21,21,6
17,2016-01-06,Christina Bowman,922-90-5377,86.91,21,5
18,2016-08-21,Janet Pierce,419-34-1154,164.57,21,6
19,2016-04-15,Eugene Fowler,283-30-4500,207.72,21,6
20,2016-09-03,Fred Hanson,155-86-7377,107.85,21,6
21,2016-06-06,Brian Stone,341-34-5569,85.1,21,3
22,2016-03-01,Beverly Fernandez,365-78-5932,226.27,21,3
23,2016-10-06,Keith Day,205-93-1620,63.5,21,4
24,2016-05-23,Diane Foster,166-46-2661,227.2,21,4
25,2016-03-08,Dennis Sanchez,898-06-1476,132.06,21,5
26,2016-07-24,Jeremy Wallace,780-67-4529,93.6,21,4
27,2015-12-14,Bonnie Ellis,189-70-1385,101.67,21,3
28,2016-04-09,Todd Peters,533-12-4258,168.15,21,3
29,2016-01-07,Wayne Porter,713-17-4872,100.5,21,4
30,2016-08-16,Joseph Gray,525-63-2810,54.85,21,6
31,2016-06-20,Phyllis Owens,195-20-8113,64.99,21,5
32,2015-11-15,Ryan Robertson,973-18-5415,164.81,21,4
33,2016-04-23,Raymond Richardson,684-22-1928,44.1,21,4
34,2016-07-26,Joe Myers,414-95-8963,95.53,21,6
35,2015-11-16,Michael Woods,186-15-3132,189.24,21,4
36,2015-11-09,Kimberly Rice,764-42-3468,100.19,21,6
37,2016-02-01,Ronald Lopez,192-73-9697,55.31,21,3
38,2016-02-23,Jeffrey Wheeler,186-88-2995,184.45,21,5
39,2016-02-04,Fred Ford,873-61-9361,174.23,21,5
40,2016-08-06,Stephen Perez,138-57-9042,227.75,21,4
41,2016-07-26,Roger Kim,841-71-9434,189.33,21,6
42,2016-07-22,Earl Franklin,737-82-4776,132.19,21,5
43,2016-01-18,Sarah Sims,335-68-1321,73.1,21,5
44,2016-02-28,Donna Sims,341-37-0931,162.56,21,4
45,2016-04-22,Christina Hansen,399-22-7004,214.05,21,3
46,2015-12-02,Chris Grant,270-94-8198,99.38,21,4
47,2016-04-09,Todd Morrison,161-06-3364,185.96,21,4
48,2016-10-22,Juan Rogers,349-57-1252,32.32,21,5
49,2016-09-15,Diana Carpenter,634-08-8244,101.22,21,4
50,2015-10-26,Edward Brown,570-24-0369,100.61,21,6
51,2016-09-24,Diana Fowler,381-88-8578,164.72,21,4
52,2016-04-18,Edward Daniels,944-12-1089,35.56,21,5
53,2015-11-02,Angela Richardson,415-40-4776,120.97,21,5
54,2016-04-23,Patricia Mccoy,975-13-5488,87.55,21,6
55,2016-05-29,Lori Daniels,742-56-5189,122.67,21,3
56,2016-08-30,Samuel Stanley,192-60-9597,155.48,21,6
57,2015-11-16,Bruce Fuller,554-44-4610,110.38,21,6
