id,name,nif,principal_id
1,Naëlle,679-66-6816,3
2,Léa,811-58-0535,3
3,Marie-françoise,695-29-9569,3
4,Esbjörn,848-84-0706,3
5,Dù,201-46-8282,3
6,Nuó,946-56-9202,3
7,Lorène,700-73-0761,3
8,Léane,763-64-5955,3
9,Mélys,567-89-2854,3
10,Anaïs,297-83-6515,3
11,Mà,715-90-6941,3
12,Edmée,737-89-6603,3
13,Kuí,488-17-5958,3
14,Stévina,254-72-2334,3
15,Yè,856-30-8780,3
16,Cécilia,284-39-2305,3
17,Judicaël,144-90-1739,3
18,Angélique,708-75-5347,3
19,Mélys,575-86-9028,3
20,Publicité,169-64-1674,3
21,Yè,481-38-1546,4
22,Séverine,223-97-5363,4
23,André,533-21-6671,4
24,Loïs,395-97-2232,4
25,Jú,130-51-1035,4
26,Pò,816-51-3677,4
27,Lyséa,543-72-3401,4
28,Tú,430-39-8622,4
29,Ophélie,765-64-0159,4
30,Régine,587-06-8906,4
31,Mélanie,137-53-2259,4
32,Lyséa,457-45-9325,4
33,Eugénie,549-09-2063,4
34,Cécilia,248-53-3210,4
35,Irène,164-93-8460,4
36,Hélène,907-96-0745,4
37,Thérèse,794-10-4013,4
38,Annotés,437-26-3051,4
39,Lèi,666-67-9998,4
40,Marlène,234-67-3642,4
41,Mà,630-18-1974,5
42,Annotés,616-36-4265,5
43,Rachèle,999-19-5708,5
44,Eléonore,668-40-3255,5
45,Zoé,842-35-0703,5
46,Andrée,357-81-3626,5
47,Maëlys,290-22-5832,5
48,Gösta,856-47-1793,5
49,Maïlys,253-39-4423,5
50,Wá,238-67-2411,5
51,Audréanne,210-04-8184,5
52,Françoise,310-79-9598,5
53,Maëlla,783-55-2018,5
54,Audréanne,988-32-7658,5
55,Maïly,519-90-8952,5
56,Adélie,143-23-0357,5
57,Adèle,558-41-9612,5
58,Anaé,260-87-6373,5
59,Intéressant,949-84-4964,5
60,Dafnée,380-96-0327,5
61,Fèi,135-50-0138,6
62,Mélissandre,354-53-9910,6
63,Pål,104-73-6069,6
64,Ruì,712-20-0743,6
65,Simplifiés,144-09-9727,6
66,Maëlle,809-73-4026,6
67,Gaétane,259-06-3869,6
68,Camélia,580-28-0277,6
69,Maïwenn,558-99-3187,6
70,Garçon,286-34-6301,6
71,Loïca,510-93-6051,6
72,Yénora,699-00-7162,6
73,Åke,869-83-6328,6
74,Maïlis,327-54-5401,6
75,Lauréna,592-70-3269,6
76,Françoise,195-08-6926,6
77,Andréanne,948-75-5861,6
78,Garçon,570-47-7948,6
79,Maëline,143-83-2102,6
80,Mélina,563-63-7901,6
81,Clean,16-64-1674,3
